"File","Function","Parameters"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\preview_routes.py","_check_test_ownership","test"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\preview_routes.py","preview_file","file_type, test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\preview_routes.py","bulk_review","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\profile_routes.py","profile",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\profile_routes.py","settings",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\release_routes.py","release_results","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\upload_routes.py","create_test",""
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\upload_routes.py","upload_file","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\utils.py","generate_presence_table","detected_students: list[dict], class_list_students: list[dict]"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_ai_grading.py","is_teacher_or_admin","test"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_ai_grading.py","start_ai_grading","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_files.py","preprocess_test","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","fuzzy_match_student_id","extracted_id: str, class_list_df: pd.DataFrame"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","split_pdf_per_student","pdf_path: Path, output_dir: Path, mapping: dict"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","preprocess_test","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","submit_overrides","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","bulk_review","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","submit_bulk_overrides","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_overrides.py","export_overrides","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_split.py","review_split_page","test_id: int, page_num: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_split.py","submit_review","test_id: int, page_num: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","review_test","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","review_extracted_list","test_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","review_submission","submission_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","manual_review_submit","submission_id: int"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","extract_class_list","test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\routes_review_test.py","review_file","file_type, test_id"
"C:\Users\ALEX\Desktop\Smartscripts\smartscripts\app\teacher\review_bp\utils.py","split_pdf_per_student","pdf_path: Path, output_dir: Path, mapping: Dict[int, Tuple[str, str]]"
